tier,start,end,duration,comment,relavence,classification,subject,
Caregiver linguistic,124.824,125.384,0.560000000000002,girafa,0,normal,417,
Caregiver linguistic,126.532,126.853,0.320999999999998,taza,0,normal,417,
Caregiver linguistic,145.692,146.782,1.09,tomate,0,normal,417,
Child linguistic,147.469,148.611,1.142,mate,0,normal,417,
Caregiver linguistic,150.25,150.72,0.469999999999999,pan,0,normal,417,
Child linguistic,151.246,151.696,0.449999999999989,pan,0,normal,417,
Child linguistic,155.552,156.522,0.969999999999999,pan,0,normal,417,
Child linguistic,167.453,168.463,1.00999999999999,nito ,1,normal,417,
Caregiver linguistic,168.557,169.457,0.900000000000006,arbolito ,1,normal,417,
Caregiver linguistic,170.654,171.147,0.492999999999995,arbolito ,1,normal,417,
Caregiver linguistic,171.772,172.422,0.650000000000006,brocoli ,1,normal,417,
Child linguistic,173.73,174.787,1.05700000000002,brocoli ,1,normal,417,
Caregiver linguistic,192.713,193.73,1.017,elote ,1,normal,417,
Child linguistic,194.128,194.95,0.822000000000003,elote ,1,normal,417,
Child linguistic,198.497,199.327,0.829999999999984,platano ,1,normal,417,
Caregiver linguistic,200.59,201.285,0.694999999999993,platano ,1,normal,417,
Caregiver linguistic,209.302,210.234,0.932000000000016,aguacate ,1,normal,417,
Caregiver linguistic,223.302,224.124,0.822000000000003,platano,0,normal,417,
Child linguistic,233.493,234.391,0.897999999999996,platano ,1,normal,417,
Caregiver linguistic,235.925,236.561,0.635999999999996,platano ,1,normal,417,
Caregiver linguistic,250.438,250.955,0.517000000000024,fresa ,1,normal,417,
Child linguistic,252.264,253.027,0.762999999999977,fresa ,1,normal,417,
Caregiver linguistic,268.687,269.645,0.95799999999997,naranja ,1,normal,417,
Child linguistic,270.133,271.208,1.07500000000005,naranja ,1,normal,417,
Caregiver linguistic,276.386,276.778,0.391999999999996,fresa,0,normal,417,
Child linguistic,279.921,280.582,0.661000000000001,fresa,0,normal,417,
Child linguistic,288.437,289.378,0.940999999999974,cuchillo ,1,normal,417,
Caregiver linguistic,290.187,290.975,0.788000000000011,cuchillo ,1,normal,417,
Caregiver linguistic,316.708,317.513,0.80499999999995,cuchara ,1,normal,417,
Child linguistic,320.401,321.381,0.979999999999961,cuchillo ,1,normal,417,
Caregiver linguistic,322.049,322.587,0.538000000000011,cuchillo ,1,normal,417,
Caregiver linguistic,328.048,328.76,0.711999999999989,plato ,1,normal,417,
Caregiver linguistic,18.1,18.81,0.709999999999997,sandwich,0,normal,414,
Caregiver linguistic,19.755,20.508,0.753,sandwich,0,normal,414,
Caregiver linguistic,76.805,77.615,0.809999999999988,nana,0,normal,414,
Caregiver linguistic,78.08,79.62,1.54000000000001,banana,0,normal,414,
Child linguistic,81.93,83.55,1.61999999999999,banana,0,normal,414,
Child linguistic,84.19,85.746,1.556,banana,0,normal,414,
Child linguistic,87.308,88.948,1.63999999999999,banana,0,normal,414,
Caregiver linguistic,91.858,92.958,1.09999999999999,banana,0,normal,414,
Caregiver linguistic,106.328,107.318,0.989999999999995,cookie ,1,normal,414,
Caregiver linguistic,112.58,113.55,0.969999999999999,lechuga ,1,normal,414,
Caregiver linguistic,117.11,117.76,0.650000000000006,leche ,1,normal,414,
Caregiver linguistic,118.025,118.565,0.539999999999992,leche ,1,normal,414,
Caregiver linguistic,125.81,126.82,1.00999999999999,fresa ,1,normal,414,
Caregiver linguistic,138.385,139.095,0.710000000000008,taza ,1,normal,414,
Caregiver linguistic,168.46,169.25,0.789999999999992,cuchara ,1,normal,414,
Caregiver linguistic,197.715,198.835,1.12,aguacte ,1,normal,414,
Caregiver linguistic,199.275,200.455,1.18000000000001,aguacte ,1,normal,414,
Caregiver linguistic,205.06,205.88,0.819999999999993,orange ,1,english,414,
Caregiver linguistic,225.72,226.67,0.949999999999989,brocoli ,1,normal,414,
Caregiver linguistic,231.125,231.995,0.870000000000004,brocoli ,1,normal,414,
Caregiver linguistic,7.739,8.359,0.62,sandwich,0,normal,157,
Caregiver linguistic,11.56,12.14,0.58,sandwich,0,normal,157,
Child linguistic,13.62,14.56,0.940000000000001,tapa,0,normal,157,
